name	LiuW_2016	LiuW_2016_2	Obregon-TitoAJ_2015
Acc_LRC	0.57	0.52	0.97
F1_LRC	0.56	0.52	0.97
Prec_LRC	0.57	0.52	0.98
Recall_LRC	0.57	0.52	0.97
MCC_LRC	0.11	0.01	0.95
Acc_DTC	0.65	0.64	1.0
F1_DTC	0.64	0.62	1.0
Prec_DTC	0.65	0.66	1.0
Recall_DTC	0.65	0.64	1.0
MCC_DTC	0.27	0.26	1.0
Acc_SVC	0.59	0.61	0.97
F1_SVC	0.55	0.57	0.97
Prec_SVC	0.54	0.6	0.98
Recall_SVC	0.59	0.61	0.97
MCC_SVC	0.08	0.21	0.95
Acc_RFC	0.68	0.66	1.0
F1_RFC	0.65	0.66	1.0
Prec_RFC	0.68	0.67	1.0
Recall_RFC	0.68	0.66	1.0
MCC_RFC	0.31	0.31	1.0
Acc_HDC	0.71	0.68	0.97
F1_HDC	0.7	0.66	0.97
Prec_HDC	0.73	0.7	0.97
Recall_HDC	0.71	0.68	0.97
MCC_HDC	0.41	0.35	0.93
