name	GhensiP_2019	JieZ_2017	JieZ_2017_2	XieH_2016	KeohaneDM_2020	KeohaneDM_2020_2
Acc_LRC	0.75	0.63	0.68	0.58	0.54	0.48
F1_LRC	0.76	0.62	0.69	0.57	0.53	0.48
Prec_LRC	0.77	0.65	0.73	0.57	0.55	0.48
Recall_LRC	0.75	0.63	0.68	0.58	0.54	0.48
MCC_LRC	0.46	0.18	0.38	0.1	0.09	-0.04
Acc_DTC	0.68	0.78	0.75	0.61	0.54	0.52
F1_DTC	0.56	0.69	0.73	0.47	0.51	0.35
Prec_DTC	0.47	0.62	0.75	0.38	0.55	0.27
Recall_DTC	0.68	0.78	0.75	0.61	0.54	0.52
MCC_DTC	0.0	0.2	0.41	0.0	0.09	0.0
Acc_SVC	0.71	0.62	0.7	0.63	0.58	0.52
F1_SVC	0.63	0.53	0.58	0.51	0.57	0.47
Prec_SVC	0.6	0.48	0.5	0.45	0.6	0.59
Recall_SVC	0.71	0.62	0.7	0.63	0.58	0.52
MCC_SVC	0.15	-0.08	0.0	0.04	0.17	0.1
Acc_RFC	0.71	0.7	0.7	0.61	0.52	0.52
F1_RFC	0.69	0.58	0.58	0.47	0.35	0.35
Prec_RFC	0.72	0.5	0.5	0.38	0.27	0.27
Recall_RFC	0.71	0.7	0.7	0.61	0.52	0.52
MCC_RFC	0.3	0.0	0.0	0.0	0.0	0.0
Acc_HDC	0.78	0.79	0.91	0.66	0.71	0.6
F1_HDC	0.78	0.73	0.91	0.66	0.71	0.59
Prec_HDC	0.79	0.7	0.93	0.68	0.71	0.6
Recall_HDC	0.78	0.79	0.91	0.66	0.71	0.6
MCC_HDC	0.5	0.46	0.8	0.32	0.42	0.2
