name	WampachL_2018	ThomasAM_2018a	VatanenT_2016	FerrettiP_2018	YuJ_2015	ZellerG_2014	VogtmannE_2016	LeeKA_2022	YachidaS_2019	DavidLA_2015	FengQ_2015	ThomasAM_2019_c	YassourM_2018	YachidaS_2019_2
Acc_LRC	0.93	0.68	0.8	0.88	0.49	0.63	0.78	0.65	0.63	0.66	0.64	0.68	0.97	0.6
F1_LRC	0.93	0.67	0.8	0.88	0.47	0.62	0.77	0.64	0.62	0.63	0.63	0.65	0.97	0.59
Prec_LRC	0.95	0.73	0.81	0.88	0.47	0.64	0.8	0.66	0.63	0.72	0.65	0.71	0.98	0.59
Recall_LRC	0.93	0.68	0.8	0.88	0.49	0.63	0.78	0.65	0.63	0.66	0.64	0.68	0.97	0.6
MCC_LRC	0.88	0.41	0.59	0.75	-0.13	0.25	0.55	0.3	0.24	0.31	0.25	0.36	0.95	0.17
Acc_DTC	0.91	0.68	0.8	0.77	0.63	0.59	0.62	0.62	0.68	0.7	0.69	0.68	0.97	0.68
F1_DTC	0.91	0.66	0.8	0.77	0.49	0.43	0.48	0.61	0.67	0.65	0.65	0.67	0.97	0.67
Prec_DTC	0.92	0.76	0.8	0.77	0.4	0.34	0.39	0.63	0.69	0.65	0.74	0.69	0.97	0.68
Recall_DTC	0.91	0.68	0.8	0.77	0.63	0.59	0.62	0.62	0.68	0.7	0.69	0.68	0.97	0.68
MCC_DTC	0.82	0.43	0.57	0.51	0.0	0.0	0.0	0.24	0.35	0.25	0.35	0.36	0.95	0.34
Acc_SVC	0.82	0.59	0.81	0.82	0.66	0.63	0.7	0.61	0.67	0.73	0.54	0.7	0.95	0.65
F1_SVC	0.79	0.58	0.81	0.82	0.63	0.62	0.69	0.59	0.66	0.7	0.54	0.68	0.95	0.64
Prec_SVC	0.79	0.58	0.81	0.84	0.69	0.63	0.74	0.66	0.67	0.7	0.57	0.74	0.95	0.65
Recall_SVC	0.82	0.59	0.81	0.82	0.66	0.63	0.7	0.61	0.67	0.73	0.54	0.7	0.95	0.65
MCC_SVC	0.57	0.13	0.6	0.64	0.27	0.22	0.39	0.26	0.31	0.27	0.09	0.42	0.9	0.27
Acc_RFC	0.91	0.7	0.85	0.84	0.63	0.59	0.66	0.61	0.69	0.69	0.69	0.75	0.97	0.68
F1_RFC	0.91	0.68	0.85	0.83	0.49	0.43	0.63	0.6	0.69	0.56	0.67	0.75	0.97	0.68
Prec_RFC	0.92	0.77	0.85	0.86	0.4	0.34	0.68	0.62	0.69	0.47	0.7	0.75	0.98	0.68
Recall_RFC	0.91	0.7	0.85	0.84	0.63	0.59	0.66	0.61	0.69	0.69	0.69	0.75	0.97	0.68
MCC_RFC	0.82	0.46	0.68	0.67	0.0	0.0	0.25	0.23	0.37	0.0	0.34	0.5	0.95	0.35
Acc_HDC	0.89	0.81	0.85	0.91	0.67	0.66	0.8	0.64	0.68	0.77	0.64	0.72	0.98	0.68
F1_HDC	0.89	0.81	0.85	0.91	0.67	0.65	0.8	0.64	0.67	0.77	0.63	0.72	0.98	0.68
Prec_HDC	0.91	0.82	0.85	0.92	0.67	0.66	0.8	0.65	0.68	0.79	0.64	0.73	0.98	0.69
Recall_HDC	0.89	0.81	0.85	0.91	0.67	0.66	0.8	0.64	0.68	0.77	0.64	0.72	0.98	0.68
MCC_HDC	0.78	0.63	0.69	0.82	0.3	0.3	0.57	0.28	0.34	0.5	0.24	0.44	0.96	0.36
